# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
13597|4|ja|25歳の女子高生
2984|2|x-jat|2koi
7195|2|en|2nd Lieutenant Norakuro: Sunday Magic
1423|4|de|2x1
1423|1|x-jat|2x1
1423|4|en|2x1
1769|3|x-jat|2x2
1769|2|x-jat|2X2 Shinobuden
1769|2|x-jat|2X2=Shinobuden
5334|2|x-jat|3 Choume no Tama: Onegai! Momo-chan o Sagashite!!
12416|2|x-jat|3 Choume no Tama: Uchi no Tama Shirimasenka?
4678|2|ja|3 Choume no Tama: Uchi no Tama Shirimasenka? (1994)
9592|2|en|3 Iron Musketeers
5334|1|x-jat|3-Choume no Tama: Onegai! Momo-chan o Sagashite!!
12416|1|x-jat|3-Choume no Tama: Uchi no Tama Shirimasenka?
4678|1|x-jat|3-Choume no Tama: Uchi no Tama Shirimasenka? (1994)
12729|1|x-jat|3-D Tengoku
12729|4|ja|3-D天国
11606|2|x-jat|3-gatsu no Lion
12994|2|x-jat|3-gatsu no Lion (2017)
11395|2|x-jat|3-gatsu no Lion meets Bump of Chicken
12994|2|x-jat|3-gatsu no Lion S2
12366|1|x-jat|3-Nen D-Gumi Glass no Kamen
12948|1|x-jat|3-Nen D-Gumi Glass no Kamen: Tobidase Watashitachi no Victory Road
5486|2|ja|3-tsu no Hanashi
5486|2|ja|3-tsu no Hanashi Atarashii Douga
7047|2|x-jat|3-tsu no Kumo
3|4|pl|3*3 Oczy
2|4|ja|3×3 EYES
3|4|ja|3×3 EYES -聖魔伝説-
8106|1|x-jat|30-sai no Hoken Taiiku
2213|2|en|30,000 Miles Under the Sea
2213|4|ar|30,000 ميل تحت سطح البحر
12354|1|x-jat|300 En no Otsukiai Anime Edition
1383|2|en|3000 Leagues in Search of Mother
1383|2|ru|3000 лиг в поисках матери
12354|4|ja|300円のおつきあい Anime Edition
8106|3|x-jat|30sai
9723|4|ja|30th GUNDAM PERFECT MISSION
9723|1|x-jat|30th Gundam Perfect Mission
8106|4|ja|30歳の保健体育
13581|1|x-jat|3D Kanojo: Real Girl
14165|1|x-jat|3D Kanojo: Real Girl (2019)
1391|4|en|3D Magical Play
13581|4|ko|3D 여자친구: 리얼 걸
801|2|x-jat|3DENs BOwY
13581|4|ja|3D彼女 リアルガール
14165|4|ja|3D彼女 リアルガール (2019)
11046|1|x-jat|3Ping Lovers! Ippu Nisai no Sekai e Youkoso The Animation
11046|4|ja|3PingLovers!☆一夫二妻の世界へようこそ♪ THE ANIMATION
5486|2|ja|3tsu no Hanashi
2|3|x-jat|3x3
2|4|de|3x3 Augen (OVA 1)
3|4|de|3x3 Augen (OVA 2)
2|1|x-jat|3x3 Eyes
2|4|en|3x3 Eyes
2|4|fr|3x3 Eyes
2|2|en|3x3 Eyes - Immortals
3|4|fr|3x3 Eyes - La légende du démon divin
3|4|en|3x3 Eyes: Legend of the Divine Demon
3|1|x-jat|3x3 Eyes: Seima Densetsu
2|4|it|3x3 Occhi
3|4|it|3x3 Occhi - La Leggenda del Demone Divino
2|4|cs|3x3 Oči
2|4|sv|3x3 Ögon
3|2|sv|3x3 Ögon (1995)
2|4|es|3x3 Ojos [1-4]
3|4|es|3x3 Ojos [5-7]
2|4|ca|3x3 Ulls
2|2|ru|3x3 глаза
3|2|ru|3х3 глаза: Сказание Сэймы
11606|4|ko|3월의 라이온
12994|4|ko|3월의 라이온 2기
7047|4|ja|3つの雲
12948|4|ja|3ねんDぐみ ガラスの仮面 とびだせ私たちのVR[ヴィクトリーロード]
12366|4|ja|3ねんDぐみガラスの仮面
12416|4|ja|3丁目のタマ うちのタマ知りませんか?
4678|4|ja|3丁目のタマ うちのタマ知りませんか? (1994)
5334|4|ja|3丁目のタマ おねがい! モモちゃんを捜して!!
11606|4|ja|3月のライオン
12994|4|ja|3月のライオン (2017)
