# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
1297|4|es|María nos mira
10178|4|en|Maria the Virgin Witch
1297|4|en|Maria Watches Over Us
4138|4|en|Maria Watches Over Us 3rd Season OVA
5694|4|en|Maria Watches Over Us 4th Season
2025|4|en|Maria Watches Over Us Season 2 Printemps
1297|3|x-jat|Maria-sama
1297|1|x-jat|Maria-sama ga Miteru
2025|2|x-jat|Maria-sama ga Miteru - Haru
4138|1|x-jat|Maria-sama ga Miteru 3rd Season
5694|1|x-jat|Maria-sama ga Miteru 4th
2025|2|x-jat|Maria-sama ga Miteru Haru
4138|2|x-jat|Maria-sama ga Miteru OAV
4138|2|x-jat|Maria-sama ga Miteru OVA
2025|1|x-jat|Maria-sama ga Miteru: Haru
2025|3|x-jat|Maria-sama2
2681|2|en|Maria: The Young and Fresh Girl
6087|2|ja|Maria†Holic
6087|2|x-jat|Maria+Holic
2025|3|x-jat|maria2
4138|3|x-jat|maria3
5694|2|x-jat|maria4
1489|3|x-jat|marie
6434|1|x-jat|Marie & Gali
7427|1|x-jat|Marie & Gali Ver.2.0
1297|3|x-jat|Marimite
2025|3|x-jat|marimite haru
2025|3|x-jat|marimite2
4138|3|x-jat|marimite3
5694|3|x-jat|marimite4
8867|1|x-jat|Marimo no Hana: Saikyou Butouha Shougakusei Densetsu
8452|2|en|Marin and Yamato: Mysterious Sunday
8452|1|x-jat|Marin to Yamato: Fushigi na Nichiyoubi
4006|2|en|Marina the Manga Artist Goes to Camelot
995|4|en|Marine A Go-Go
3576|4|fr|Marine Boy
756|2|it|Marine express
756|3|x-jat|Marine Express
756|4|en|Marine Express
5037|1|x-jat|Marine Snow no Densetsu
1035|4|en|Maris the Chojo
1035|2|en|Maris the Wondergirl
1383|4|is|Markó
356|1|x-jat|Marmalade Boy
356|4|pt|Marmalade Boy
1259|2|en|Marmalade Boy - The Movie
1259|1|x-jat|Marmalade Boy (1995)
356|4|es|Marmalade Boy (La Familia Crece)
1259|4|es|Marmalade Boy (La Familia Crece): La Película
10313|4|fi|Marnie - tyttö ikkunassa
10313|4|pl|Marnie: Przyjaciółka ze snów
11160|1|x-jat|Maro no Kanja wa Gatenkei
1866|1|x-jat|Maroko
1866|4|ja|MAROKO 麿子
2161|3|x-jat|marple
2689|1|x-jat|Marriage
2689|4|ja|Marriage ~結婚~
9491|1|x-jat|Marriage Blue: "Konyakusha ga Iru no ni, Doushite Konna Otoko ni......"
1104|4|en|Marriage of God & Soul Godannar!!
1612|4|en|Marriage of God & Soul Godannar!! (2004)
1612|2|en|Marriage of God & Soul Godannar!! Second Season
5696|1|x-jat|Mars
1641|4|fr|Mars Daybreak
1641|4|en|Mars Daybreak
3225|4|en|Mars of Destruction
4539|4|pt-BR|Mars The Terminator
4539|4|fr|Mars the Terminator
4539|4|es|Mars, el exterminador
1666|1|x-jat|Marshmallow Times
11856|1|x-jat|Marshmallow, Imouto, Succubus
180|4|es-LA|Martian Successor Nadesico
180|4|en|Martian Successor Nadesico
180|4|pt-BR|Martian Successor Nadesico
180|4|fr|Martian Successor Nadesico
369|4|fr|Martian Successor Nadesico - The Prince of Darkness
369|4|es-LA|Martian Successor Nadesico: El Príncipe de la Obscuridad
369|4|en|Martian Successor Nadesico: The Prince of Darkness
6522|1|x-jat|Marude Dameo
12641|1|x-jat|Marude Sekai
2855|2|x-jat|Maruhebun
3685|2|x-jat|Maruhi Gekiga Ukiyoe Sen`ya Ichiya
3685|2|en|Maruhi Gekiga: Ukiyo-e 1001 Nights
12899|1|x-jat|Marvel Future Avengers
13744|1|x-jat|Marvel Future Avengers (2018)
3050|4|en|Marvelous Melmo
12649|2|en|Mary and the Witch`s Flower
540|2|x-jat|Mary Bell
3671|4|it|Mary e il giardino dei misteri
3671|4|ro|Mary şi grădina secretă
12649|1|x-jat|Mary to Majo no Hana
12649|4|de|Mary und die Blume der Hexen
2925|2|x-jat|Maryu Senki
2925|1|x-jat|Maryuu Senki
6887|1|x-jat|Masakari Katsuide
11789|1|x-jat|Masamune Datenicle
12234|1|x-jat|Masamune-kun no Revenge
13840|1|x-jat|Masamune-kun no Revenge (2018)
12234|4|en|Masamune-kun`s Revenge
1624|4|es|Masaru 2
1624|1|x-jat|Masaru Ashita no Yukinojou 2
1624|4|ja|Masaru あしたの雪之丞2
8319|3|x-jat|mashifoni
3636|1|x-jat|Mashin Eiyuuden Wataru
5755|2|en|Mashin Eiyuuden Wataru - The Never-Ending Tale of Time
3637|1|x-jat|Mashin Eiyuuden Wataru 2
5755|1|x-jat|Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari
5974|1|x-jat|Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu
8319|3|x-jat|mashiphony
8319|3|x-jat|mashiro
8319|1|x-jat|Mashiro-iro Symphony: The Color of Lovers
8319|4|en|Mashiroiro Symphony: The Color of Lovers
2024|2|x-jat|Masho no Kao
2024|1|x-jat|Mashou no Kao
12076|1|x-jat|Mashou no Nie 3
2127|2|x-jat|Mashuranboo
12202|1|x-kot|Mask Masters
478|2|en|Mask of Glass
1879|4|en|Mask of Zeguy
2073|2|en|Masked Ninja Akakage
3951|4|en|Masked Rider Super-Deformed
5277|2|tr|Maskeli Hizmetkâr
4568|4|hu|Másodpercenként 5 centiméter
11638|1|x-jat|Masou Gakuen HxH
12421|1|x-jat|Masou Gakuen HxH 2
2725|2|ja|Masou Kishin Cybaster
2725|1|x-jat|Masou Kishin Cybuster
1021|4|en|Masquerade
2486|2|en|Masquerade 2
8674|4|en|Mass Effect: Paragon Lost
8674|1|x-jat|Mass Effect: Paragon Lost
8674|2|x-jat|Mass Effect: Ushinawareta Paragon
8674|4|cs|Mass Effect: Ztracený ideál
8674|4|uk|Mass Effect: Згуба Параґону
1029|1|x-jat|Massugu ni Ikou.
2327|1|x-jat|Massugu ni Ikou. (2004)
11185|4|en|Master and Man
11661|1|x-jat|Master Blaster
11661|4|ja|MASTER BLASTER
1439|4|ja|MASTER KEATON
1439|1|x-jat|Master Keaton
1439|4|fr|Master Keaton
1295|1|x-jat|Master Mosquiton
684|1|x-jat|Master Mosquiton 99
4336|1|x-jat|Master of Epic The Animation Age
4336|4|ja|Master of Epic The AnimationAge
6045|4|en|Master of Martial Hearts
684|2|en|Master of Mosquiton `99
1295|2|en|Master of Mosquiton OVA
12560|2|en|Master of Skill
10562|1|x-jat|Master of Torque
12702|4|ja|Master of Torque Epilogue
12702|1|x-jat|Master of Torque Epilogue
10748|1|x-jat|Master of Torque Season 2
12127|1|x-jat|Master of Torque Season 3
12127|4|ja|Master of Torque Season 3
11297|4|en|Master Q: Incredible Pet Detective
266|4|sv|Mästerdetektiven Conan
5945|2|en|Masters of the Future
2827|1|x-jat|Masuda Kousuke Gekijou Gag Manga Biyori
7242|1|x-jat|Masuda Kousuke Gekijou Gag Manga Biyori +
4558|1|x-jat|Masuda Kousuke Gekijou Gag Manga Biyori 2
5774|1|x-jat|Masuda Kousuke Gekijou Gag Manga Biyori 3
2827|2|en|Masuda Kousuke`s Theater: A Perfect Day for Gag-Manga
5320|2|pl|Maszyna Czasu 001
62|1|x-jat|Mata Mata Saber Marionette J
632|1|x-jat|Matantei Loki Ragnarok
3583|4|en|Matasaburo the Wind Boy
3583|4|fr|Matasaburo, le garçon du vent
7029|1|x-jat|Match Uri no Shoujo
761|2|en|Matchless King Tri-Zenon
5922|2|en|Matchless Love Princess
3961|4|en|Matchless Passion Gozaurer
4486|4|en|Matchless Raijin-Oh
9385|2|pl|Matka i córka: Gigantyczne cycusie z obfitym mleczkiem
40|4|fi|Matka maapallon ympäri
12273|4|en|Matoi the Sacred Slayer
2561|1|x-jat|Matou Kitan Zankan
11451|4|en|Matsu, Yamma and Moburi: The Mystery of the Seven Gems and the Flying Castle
11300|1|x-jat|Matsubara-kun
11452|1|x-jat|Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima
11451|1|x-jat|Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro
11452|4|en|Mattsu, Yamma and Moburi 2: Navy`s Treasure and Islands with Mystery to Be Hunted
11452|2|en|Mattsu, Yamma and Moburi 2: The Naval Treasure and Riddle Island
13419|2|en|Mature Woman Desire
154|2|vi|Màu của Ảo giác
2857|3|x-jat|Mave
2857|3|x-jat|Mave-chan
361|2|tr|Mavi Denizaltı No.6
5044|2|tr|Mavi Ejder
1022|4|tr|Mavi Gökyüzü
8421|4|fr|Mawaru Penguindrum
8421|4|it|Mawaru Penguindrum
8421|1|x-jat|Mawaru Penguindrum
153|2|fr|Max & compagnie
284|4|fr|Max & compagnie - Cet été là
576|4|fr|Max & compagnie - Je veux revenir à ce jour
283|2|fr|Max & compagnie - OAV
153|4|fr|Max et compagnie
576|2|fr|Max et compagnie - Je veux revenir à ce jour
283|4|fr|Max et compagnie - OAV
2765|3|x-jat|Max Heart
2237|2|es|Maxinger X
6100|4|en|May`s Hot Night
1351|4|nl|Maya de Bij
1351|4|fr|Maya l`abeille
3663|4|fr|Maya l`abeille - Saison 2
6358|1|x-jat|Maya no Isshou
1351|4|en|Maya the Bee
4604|2|en|Maybe You
8179|1|x-jat|Mayo Chiki!
8179|4|en|Mayo Chiki!
7726|2|x-jat|Mayoelle Otokonoko
7726|1|x-jat|Mayoeru Otokonoko
8179|2|x-jat|Mayoeru Shitsuji to Chikin na Ore to
13223|1|x-jat|Mayohiga no Onee-san The Animation
7726|2|x-jat|Mayoi Elle Otokonoko
7229|1|x-jat|Mayoi Neko Overrun!
11863|1|x-jat|Mayoiga
14172|1|x-jat|Mayonaka no Occult Koumuin
12802|1|x-jat|Mayonaka wa Junketsu
3984|1|x-jat|Mayutoro The Toons
459|3|x-jat|Maze
602|1|x-jat|Maze Bakunetsu Jikuu
459|1|x-jat|Maze Bakunetsu Jikuu (1997)
602|2|x-jat|Maze Bakunetsu Jikuu OVA
3374|1|x-jat|Maze Bakunetsu Jikuu: Tenpen Kyoui no Giant
459|4|en|Maze Megaburst Space
602|2|en|Maze Megaburst Space OVA
3374|3|x-jat|Maze Movie
602|3|x-jat|Maze OVA
459|3|x-jat|Maze TV
602|4|ja|MAZE☆爆熱時空
459|4|ja|MAZE☆爆熱時空 (1997)
3374|4|ja|MAZE☆爆熱時空 天変脅威の大巨人[ジャイアント]
5945|3|x-kot|Mazinga 7
2047|4|it|Mazinga contro Goldrake
950|4|it|Mazinga Z
951|4|it|Mazinga Z contro Devilman
952|4|it|Mazinga Z contro il Generale Nero
5945|3|x-kot|Mazinger 7
6397|2|it|Mazinger Edition Z - The Impact
6397|4|en|Mazinger Edition Z: The Impact!
950|4|en|Mazinger Z
950|4|es|Mazinger Z
950|2|x-jat|Mazinger Z
950|4|fr|Mazinger Z
952|1|x-jat|Mazinger Z Tai Ankoku Daishougun
951|1|x-jat|Mazinger Z Tai Devilman
952|2|ja|Mazinger Z vs Ankoku Daishougun
952|2|en|Mazinger Z vs. The Grand General of Darkness
6397|4|es|Mazinger Z: Edición Impacto!
950|2|es|Mazinger Zeta
11549|1|x-jat|Mazinger ZIP!
950|1|x-jat|Mazinger-Z
951|2|en|Mazinger-Z Versus Devilman
952|2|en|Mazinger-Z vs General Dark
952|2|en|Mazinger-Z vs General of Darkness
951|2|en|Mazinger-Z Vs. Devilman
953|1|x-jat|Mazinkaiser
953|4|en|Mazinkaiser
7623|2|x-jat|Mazinkaiser SKL
7623|4|en|Mazinkaiser SKL
954|2|en|Mazinkaiser: Deathmatch! General Dark
954|2|en|Mazinkaiser: Deathmatch! General of Darkness
954|2|x-jat|Mazinkaiser: OVA 8
954|1|x-jat|Mazinkaiser: Shitou! Ankoku Daishougun
7623|1|x-jat|Mazinkaizer SKL
7623|2|x-jat|Mazinkaizer Skull
356|3|x-jat|mb
356|3|x-jat|mbtv
600|3|en|MC
1319|3|x-jat|MCDE
811|4|fr|McDull dans les nuages
8215|4|en|McDull, Kung Fu Kindergarten
6180|4|fr|McDull, prince de la bun
6180|2|en|McDull, Prince de la Bun
8215|2|en|McDull: Kung Fu Ding Ding Dong
10863|2|en|McDull: Me & My Mum
10862|2|en|McDull: The Pork of Music
1307|3|en|MCitSoS
3511|3|en|MCK
1006|3|en|MCoG
1487|2|x-jat|MD Geist
1488|2|x-jat|MD Geist 2
1488|2|en|MD Geist II - Death Force
497|3|x-jat|md7
9332|3|x-jat|MDJ
7224|3|x-jat|MDOM
7948|3|x-jat|MDOM 2
1572|2|x-jat|Me-gumi no Daigo
1572|1|x-jat|Me-gumi no Daigo: Kajiba no Baka Yarou
3549|2|en|Meals in a Bucket
7616|4|ja|Meat or Die
7616|1|x-jat|Meat or Die
10130|1|x-jat|Mebae no Asa
7881|1|x-jat|Mecha Afro-kun
9649|2|en|Mecha Robot Corps 3
12467|1|x-jat|Mecha-ude
4274|1|x-jat|Mechakko Dotakon
4274|2|en|Mechanical Boy Dotakon
8878|2|en|Mechanized Fairies
10217|4|ja|MECHANO SCIENTIFIC ATTACK FORCE
10217|1|x-jat|Mechano: Scientific Attack Force
1407|1|x-jat|Mechiku
1407|4|de|Mechiku
13231|1|x-jat|Mechronicle!
13231|4|ja|Mechronicle!
2835|4|cs|Med a Čtyřlístek
3303|4|fr|Medabots
3303|4|el|Medabots
3303|4|de|Medabots
3303|4|en|Medabots
3303|4|pt|Medabots
3303|4|es|Medabots
4694|4|es|Medabots 2
4694|2|x-jat|Medabots Damashii
4694|4|pt|Medabots II
3303|4|pl|Medaboty
8799|1|x-jat|Medaka Box
8799|4|en|Medaka Box
9272|2|x-jat|Medaka Box 2
9272|4|en|Medaka Box Abnormal
9272|1|x-jat|Medaka Box: Abnormal
2259|1|x-jat|Medaka no Gakkou
10631|1|x-jat|Medamayaki no Kimi Itsu Tsubusu?
3303|1|x-jat|Medarot
3303|4|it|Medarot
4694|1|x-jat|Medarot Damashii
4614|4|en|Medical Humiliation
8069|2|x-jat|Meduka Meguca
7940|3|x-jat|meeramera
1906|4|fr|Meg
1906|2|fr|Meg la petite sorcière
1906|2|fr|Meg la sorcière
1906|2|en|Meg the Witch Girl
5203|4|de|Megachu
5203|1|x-jat|Megachu! The Animation
4529|2|x-jat|Megadere
13517|1|x-jat|Megalo Box
13517|2|x-jat|Megalobox
13517|4|en|Megalobox
1505|4|fr|Mégalopolis
146|4|el|Megaman
146|4|gl|Megaman
146|4|pt|Megaman
5973|4|en|MegaMan Maverick Hunter X: The Day of Sigma
146|4|hu|Megaman NT Warrior
146|4|de|MegaMan NT Warrior
146|4|fr|MegaMan NT Warrior
146|4|nl|Megaman NT Warrior
146|4|ro|Megaman NT Warrior
4791|4|en|Megaman Star Force
1143|4|en|MegaMan: Axess
146|4|pl|MegaMan: NT Warrior
146|4|en|MegaMan: NT Warrior
1144|4|en|MegaMan: Upon a Star
253|1|x-jat|Megami Kouhosei
263|2|x-jat|Megami Kouhosei OVA
263|1|x-jat|Megami Kouhosei Special Curriculum: Nakama
1722|2|x-jat|Megami Kyouju
1722|1|x-jat|Megami Kyoujyu
1476|4|en|Megami Paradise
1476|1|x-jat|Megami Paradise
832|1|x-jat|Megami Tantei Vinus File
1476|2|x-jat|Megami Tengoku
5203|2|x-jat|Megamisama Chu`uihou
9948|1|x-jat|Megane Bu!
7878|1|x-jat|Megane na Kanojo
9518|2|x-jat|Megane-hen
9948|4|en|Meganebu!
3103|3|x-jat|megaten
12296|1|x-jat|Megaton-kyuu Musashi
1729|1|x-jat|Megazone 23
1729|4|it|Megazone 23 - Part I
3544|4|it|Megazone 23 - Part II
3545|4|it|Megazone 23 - Part III
3545|1|x-jat|Megazone 23 III
3544|2|x-jat|Megazone 23 Part 2
1729|2|en|Megazone 23 PART I
3544|1|x-jat|Megazone 23 Part II: Himitsu Kudasai
3545|2|en|Megazone 23 PART III
12846|1|x-jat|Megazone 23 Sin
3545|2|en|MEGAZONE 23 The Third
12845|1|x-jat|Megazone 23 XI
1729|2|ja|MEGAZONE TWO THREE
3545|2|ja|MEGAZONE23 III
3545|4|ja|MEGAZONE23III
5845|1|x-jat|Megumi
7348|1|x-jat|Meguriau Sekai
3365|2|en|Mei and the Baby Cat Bus
3365|2|en|Mei and the Kitten Bus
3365|2|en|Mei and the Kittenbus
647|2|x-jat|Mei King
1005|2|x-jat|Mei Ou Project Zeorymer
3365|1|x-jat|Mei to Koneko Bus
3365|2|x-jat|Mei to Konekobasu
12461|1|x-jat|Meiji Tokyo Renka
3305|1|x-jat|Meiken Jolie
2289|1|x-jat|Meiken Lassie
647|1|x-jat|MeiKing
647|4|en|MeiKing
12724|1|x-jat|Meikoku Gakuen Jutai Hen
734|2|lt|Meilės Bangos
1675|2|lt|Meilės vėjas
3048|1|x-jat|Meimon! Daisan Yakyuubu
3048|2|en|Meimon! The Third Baseball Club
4588|4|de|Mein Heimatland Japan
303|4|de|Mein Nachbar Totoro
2599|4|de|Meine Liebe
2599|2|x-jat|Meine Liebe
4120|2|x-jat|Meine Liebe 2
4120|2|x-jat|Meine Liebe Wieder
370|2|de|Meine Nachbarn, die Yamadas
2451|2|de|Meine tollen Schwestern
1005|2|x-jat|Meioh Project Zeorymer
5760|1|x-jat|Meisou-ou Border
10600|1|x-jat|Meisou! Underworld
266|1|x-jat|Meitantei Conan
9181|1|x-jat|Meitantei Conan Bonus File: Fantasista no Hana
7252|1|x-jat|Meitantei Conan Magic File 2: Kudou Shin`ichi Nazo no Kabe to Kuro Lab Jiken
8399|1|x-jat|Meitantei Conan Magic File 2011: Niigata - Tokyo Omiyage Capriccio
7232|1|x-jat|Meitantei Conan Magic File 3: Shin`ichi to Ran Mahjong Pai to Tanabata no Omoide
7537|1|x-jat|Meitantei Conan Magic File 4: Osaka Okonomiyaki Odyssey
8399|2|x-jat|Meitantei Conan Magic File 5
9181|2|x-jat|Meitantei Conan Magic File 6
4504|3|x-jat|Meitantei Conan OVA 6
8534|1|x-jat|Meitantei Conan vs. Wooo
6650|1|x-jat|Meitantei Conan: 10 Nengo no Stranger
8806|1|x-jat|Meitantei Conan: 11-ninme no Striker
3591|1|x-jat|Meitantei Conan: 16 Nin no Yougisha
5444|1|x-jat|Meitantei Conan: Agasa-sensei no Chousenjou! Agasa vs Conan & Shounen Tanteidan
867|1|x-jat|Meitantei Conan: Baker Street no Bourei
8121|1|x-jat|Meitantei Conan: Chinmoku no Quarter
3596|1|x-jat|Meitantei Conan: Conan to Heiji to Kieta Shounen
3597|1|x-jat|Meitantei Conan: Conan to Kid to Crystal Mother
6242|1|x-jat|Meitantei Conan: Conan vs Kid - Shark & Jewel
6243|1|x-jat|Meitantei Conan: Conan vs Kid - Shikkoku no Sniper
3390|1|x-jat|Meitantei Conan: Conan vs Kid vs Yaiba
5444|2|en|Meitantei Conan: Dr. Agasa`s Challenge - Agasa Vs Conan & Detective Boys
12644|1|x-jat|Meitantei Conan: Episode One - Chiisaku Natta Meitantei
9152|1|x-jat|Meitantei Conan: Excalibur no Kiseki
4504|2|en|Meitantei Conan: Follow the Vanished Diamond! Conan & Heiji vs. Kid!
2328|1|x-jat|Meitantei Conan: Gin`yoku no Magician
10953|1|x-jat|Meitantei Conan: Gouka no Himawari
2647|1|x-jat|Meitantei Conan: Hitomi no Naka no Ansatsusha
13842|1|x-jat|Meitantei Conan: Hoshikage no Magician
3598|1|x-jat|Meitantei Conan: Hyouteki wa Kogoro! Shounen Tanteidan Maruhi Chousa
10290|1|x-jat|Meitantei Conan: Ijigen no Sniper
6240|1|x-jat|Meitantei Conan: Joshikousei Tantei Suzuki Sonoko no Jikenbo
11753|1|x-jat|Meitantei Conan: Junkoku no Nightmare
6650|2|x-jat|Meitantei Conan: Juu Nengo no Stranger
2645|1|x-jat|Meitantei Conan: Juuyonbanme no Target
12564|1|x-jat|Meitantei Conan: Kara Kurenai no Love Letter
7494|1|x-jat|Meitantei Conan: Kid in Trap Island
4504|1|x-jat|Meitantei Conan: Kieta Daiya o Oe! Conan & Heiji VS Kid!
4937|1|x-jat|Meitantei Conan: Konpeki no Jolly Roger
8501|1|x-jat|Meitantei Conan: London kara no Maru Hi Shirei
2052|1|x-jat|Meitantei Conan: Meikyuu no Crossroad
12537|1|x-jat|Meitantei Conan: Nazo no Suisei Kaijuu o Oe!
2646|1|x-jat|Meitantei Conan: Seikimatsu no Majutsushi
5934|1|x-jat|Meitantei Conan: Senritsu no Full Score
6245|1|x-jat|Meitantei Conan: Shikkoku no Chaser
2763|1|x-jat|Meitantei Conan: Suihei Senjou no Strategy
4187|1|x-jat|Meitantei Conan: Tantei-tachi no Requiem
1065|1|x-jat|Meitantei Conan: Tengoku e no Count Down
7250|1|x-jat|Meitantei Conan: Tenkuu no Lost Ship
304|1|x-jat|Meitantei Conan: Tokei Jikake no Matenrou
9505|1|x-jat|Meitantei Conan: Zekkai no Private Eye
13605|1|x-jat|Meitantei Conan: Zero no Shikkounin
617|1|x-jat|Meitantei Holmes
617|2|x-jat|Meitantei Houmuzu
10294|1|x-jat|Meitantei Rascal
2697|1|x-jat|Mejoku
10360|2|x-jat|Mekaku City Actors
10360|4|en|Mekakucity Actors
10360|1|x-jat|Mekakucity Actors
14010|1|x-jat|Mekakucity Days
14006|1|x-jat|Mekakucity Records
12336|1|x-jat|Mekakucity Reload
12336|4|ja|MEKAKUCITY RELOAD
14031|4|ja|Mekakucity V`s
14031|1|x-jat|Mekakucity V`s
2127|4|lv|Meklējot Šinzo
6772|2|tr|Mektup Arısı
2835|2|pt-BR|Mel e Trevo
6367|2|pl|Melancholia Haruhi Suzumii (2009)
3651|4|pl|Melancholia Haruhi Suzumiyi
6367|2|pl|Melancholia Haruhi Suzumiyi (2009)
5335|2|pl|Melancholia Haruhi Suzumiyi-chan
1292|4|it|Melanzane: Estate Andalusa
2926|2|tr|Melek Kalpli
29|2|tr|Melek Tapınağı
7048|1|x-jat|Mellow
1161|3|x-jat|Mellowlink
3395|2|lv|Melnā Lagūna
6048|2|lv|Melnais Virssulainis
4416|2|lv|Melno Asiņu Brāļi
8706|4|ja|melody
8706|1|x-jat|Melody
5069|2|en|Melody of the Sun and Sea
9021|1|x-jat|Meloetta no Kirakira Recital
9021|4|en|Meloetta`s Moonlight Serenade
9021|2|en|Meloetta`s Sparkly Recital
589|1|x-jat|Melty Lancer
5044|2|lt|Mėlynasis Drakonas
5869|2|lt|Mėlynasis drakonas 2: Septyni Dangaus Drakonai
361|2|lt|Mėlynasis Povandeninis Laivas Nr. 6
2884|1|x-jat|Meme Iroiro Yume no Tabi
120|3|x-jat|memoff
1933|4|it|Memole, dolce Memole
120|3|x-jat|memooff
10313|4|pt|Memórias de Marnie
333|4|pt|Memórias de Ontem
262|4|fr|Memories
262|4|ja|MEMORIES
262|4|pt-BR|Memories
262|4|de|Memories
262|4|sv|Memories
262|1|x-jat|Memories
262|4|pt|Memories
262|4|en|Memories
262|4|fi|Memories - muistoja tulevaisuudesta
333|2|en|Memories Like Falling Rain Drops
333|2|en|Memories Like Falling Teardrops
11751|1|x-jat|Memories Melodies
11751|4|ja|MEMORiES MELODiES
2139|2|en|Memories of Blaze - Tokyo Crisis
333|2|en|Memories of Teardrops
333|2|en|Memories of Yesterday
120|1|x-jat|Memories Off
120|4|ja|Memories Off
4139|2|x-jat|Memories Off #5
4139|2|en|Memories Off #5 The Broken Off Film
4139|1|x-jat|Memories Off #5 Togireta Film
4139|4|ja|Memories Off #5 とぎれたフィルム
574|2|x-jat|Memories Off 2
574|1|x-jat|Memories Off 2nd
2604|1|x-jat|Memories Off 3.5
1933|2|en|Memoru in the Pointed Hat
3475|1|x-jat|Memory
8705|4|ja|MEMORY (2009)
8705|1|x-jat|Memory (2009)
2487|2|en|Memory Princess
3312|4|en|Menage a Twins
3312|4|es|Menage de gemelas
209|2|pl|Menażeria horrorów
8228|1|x-zht|Meng Hui Jinsha Cheng
13665|1|x-zht|Meng Yue Jingling
13083|1|x-jat|Menhera Ayuri no Yamanai Onedari: Headphone wa Hazusenai
3291|2|pt-BR|Menina do Inferno
8306|1|x-jat|Menkui!
13638|1|x-jat|Mentori
3702|4|fr|Menu XXL
235|4|lt|Mėnulio Jūreivės
1015|2|lt|Mėnulio Princesės Legenda
13931|1|x-kot|Meoteoldosa
14005|1|x-kot|Meoteoldosawa 108 Yogoe
13997|1|x-kot|Meoteoldosawa Ttomae
11888|4|en|Meow Meow Japanese History
13054|4|en|Meow Meow Japanese History (2017)
11884|1|x-jat|Meow no Hoshi
11884|2|en|Meow`s Star
13768|1|x-jat|Merc Storia
11556|2|en|Merci Merci Me
4193|4|et|Meremaa lood
4700|2|it|Meremanoid - La leggenda delle profondità marine
4151|2|lt|Mergina, keliavusi laiku
4151|2|lt|Mergina, kuri persikėlė laike
3473|4|en|Mermaid
1100|4|de|Mermaid Forest
1100|4|fr|Mermaid Forest
817|4|en|Mermaid Forest
636|4|pt|Mermaid Melody
636|4|it|Mermaid Melody - Principesse sirene
636|1|x-jat|Mermaid Melody Pichi Pichi Pitch
1656|1|x-jat|Mermaid Melody Pichi Pichi Pitch Pure
1100|4|en|Mermaid`s Forest TV
1300|2|fr|Mermaid`s Scar
1300|4|en|Mermaid`s Scar
7048|2|x-jat|Merou
7725|2|pl|Merry - pożeraczka snów
7725|2|en|Merry Nightmare
10180|1|x-jat|Merry X`mas Mr. Lonelyman
13309|2|x-jat|Meruhen Medohen
13309|3|x-jat|Merumedo
1928|4|fr|Mes tendres années
370|4|fr|Mes voisins les Yamada
14089|1|x-jat|Meshi Numa.
10518|1|x-jat|Meshimase Lodoss-tou Senki: Sorette Oishii no?
7395|4|de|Mesmerized Slave
12782|1|x-jat|Message Song
4574|2|pt|Mestre de Barreira
11474|1|x-jat|Mesu Kyoushi 4: Kegasareta Kyoudan
6547|1|x-jat|Mesu Kyoushi: Injoku no Kyoushitsu
9526|1|x-jat|Mesu Nochi Torare
9897|1|x-jat|Mesu Saga: Persona
3303|4|pt-BR|Metabot
13180|1|x-kot|MetaJets
1489|2|en|Metal Angel Marie
1112|4|en|Metal Armor Dragonar
6426|1|x-jat|Metal Fight Beyblade
8298|1|x-jat|Metal Fight Beyblade 4D
7520|2|en|Metal Fight Beyblade the Movie: VS the Sun; Sol Blaze, the Scorching-hot Invader
9048|1|x-jat|Metal Fight Beyblade Zero G
7426|1|x-jat|Metal Fight Beyblade: Baku
917|1|x-jat|Metal Fighter Miku
917|4|de|Metal Fighters - Frauen aus Stahl
979|2|tr|Metal Simyacı
6107|2|tr|Metal Simyacı: Kardeşlik
2359|2|tr|Metal Simyacı: Shamballa Fatihi
1516|1|x-jat|Metal Skin Panic Madox-01
979|4|lt|Metalinis Alchemikas
6107|2|lt|Metalinis Alchemikas 2
11701|4|ja|METAMORPHOSE
11701|1|x-jat|Metamorphose
5343|2|en|Metamorphoses
11708|2|en|Metempsychosis
1787|4|es|Meteoro
1787|4|gl|Meteoro
1787|4|es-LA|Meteoro
5609|2|en|Method of Coupling
78|4|et|Metropol
78|4|sv|Metropolis
78|4|fr|Metropolis
78|4|en|Metropolis
78|4|ro|Metropolis
78|4|cs|Metropolis
78|4|lt|Metropolis
78|1|x-jat|Metropolis
78|4|fi|Metropolis
78|4|pt|Metropolis
78|4|it|Metropolis
12212|4|ja|METROPOLIS
78|4|tr|Metropolis
78|4|pl|Metropolis
78|4|pt-BR|Metrópolis
78|4|es-LA|Metrópolis
12212|1|x-jat|Metropolis (2009)
78|4|hu|Metropolisz
12771|1|x-jat|Metropolitan Museum
303|4|pt-BR|Meu Amigo Totoro
303|2|pt-BR|Meu Vizinho Totoro
1327|2|pt-BR|Meus Dias com Midori
1327|2|pt|Meus Dias com Midori
370|4|pt-BR|Meus Vizinhos os Yamada
